"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 19 23:09:06 MSK 2020","Sun Jan 19 23:09:38 MSK 2020","32774","","CouponCreateTest","","CouponCreateTest","addNewCouponSuccessMsgTest","addNewCouponSuccessMsgTest()",""
"passed","Sun Jan 19 23:10:45 MSK 2020","Sun Jan 19 23:11:36 MSK 2020","51198","","CouponOperationsTest","","CouponOperationsTest","searchCouponResultTest","searchCouponResultTest()",""
"passed","Sun Jan 19 23:09:38 MSK 2020","Sun Jan 19 23:10:45 MSK 2020","66250","","CouponOperationsTest","","CouponOperationsTest","searchAndDeleteCouponTest","searchAndDeleteCouponTest()",""
"passed","Sun Jan 19 23:08:39 MSK 2020","Sun Jan 19 23:09:06 MSK 2020","26629","","CouponCreateTest","","CouponCreateTest","addNewCouponTest","addNewCouponTest()",""
"passed","Sun Jan 19 23:11:36 MSK 2020","Sun Jan 19 23:12:18 MSK 2020","41573","","CouponOperationsTest","","CouponOperationsTest","searchCouponPlaceholderTest","searchCouponPlaceholderTest()",""
"passed","Sun Jan 19 23:12:44 MSK 2020","Sun Jan 19 23:13:11 MSK 2020","27583","","LogOutTest","","LogOutTest","userLogOutTest","userLogOutTest()",""
"passed","Sun Jan 19 23:12:18 MSK 2020","Sun Jan 19 23:12:44 MSK 2020","26118","","CouponOperationsTest","","CouponOperationsTest","couponSearchResultRowVisibilityTest","couponSearchResultRowVisibilityTest()",""
"passed","Sun Jan 19 23:08:13 MSK 2020","Sun Jan 19 23:08:39 MSK 2020","26045","","LoginPageTest","","LoginPageTest","loginUserTest","Login User",""
